17, 11, 17, 18, 12, 14, 18, 9, 18, 14, 11, 17, 11, 13, 20, 10, 7, 10, 7, 15, 12, 13, 5, 9, 15, 11, 11, 9, 7, 6, 11, 11, 7, 8, 8, 19
11, 21, 17, 16, 6, 14, 15, 15, 10, 11, 12, 14, 15, 13, 18, 14, 15, 17, 20, 22, 16, 19, 21, 31, 18, 18, 20, 15, 11, 17, 21, 11, 9, 12, 16, 14
326, 301, 323, 373, 401, 316, 335, 337, 342, 330, 313, 282, 273, 329, 298, 332, 327, 289, 237, 257, 190, 253, 266, 279, 294, 247, 280, 257, 294, 288, 322, 324, 282, 266, 282, 246
258, 235, 212, 210, 201, 208, 200, 215, 185, 164, 183, 196, 194, 187, 157, 166, 190, 159, 188, 253, 167, 168, 187, 157, 160, 174, 163, 196, 181, 169, 240, 145, 157, 215, 158, 142
132, 156, 113, 150, 151, 135, 129, 116, 140, 126, 125, 109, 95, 89, 118, 115, 111, 129, 104, 111, 93, 133, 134, 120, 104, 135, 125, 101, 101, 117, 133, 119, 105, 106, 101, 132
100, 138, 104, 111, 91, 91, 98, 99, 82, 93, 103, 92, 117, 93, 84, 76, 90, 78, 102, 131, 78, 91, 69, 86, 95, 91, 86, 60, 74, 71, 73, 81, 64, 76, 84, 59
83, 101, 68, 49, 41, 73, 93, 77, 92, 102, 91, 75, 80, 89, 69, 49, 69, 67, 64, 64, 66, 54, 71, 47, 55, 57, 58, 71, 58, 68, 70, 65, 62, 64, 55, 49
65, 39, 78, 76, 47, 49, 92, 46, 60, 90, 60, 59, 57, 66, 71, 59, 47, 49, 46, 130, 35, 52, 46, 56, 37, 37, 46, 78, 154, 67, 59, 60, 81, 83, 65, 51
64, 68, 46, 70, 54, 70, 70, 71, 63, 53, 62, 56, 59, 48, 56, 58, 48, 57, 51, 78, 56, 92, 85, 69, 75, 73, 59, 227, 79, 137, 107, 77, 52, 77, 71, 78
70, 163, 69, 52, 447, 144, 71, 93, 77, 93, 172, 114, 93, 273, 135, 406, 275, 247, 98, 93, 77, 90, 91, 86, 96, 89, 115, 66, 83, 102, 80, 85, 73, 103, 101, 105
110, 80, 91, 80, 86, 97, 86, 100, 77, 79, 87, 88, 90, 97, 93, 93, 91, 127, 83, 99, 112, 109, 119, 111, 131, 100, 105, 91, 95, 109, 97, 132, 118, 97, 111, 109
1724, 1660, 1495, 1442, 1282, 1366, 1476, 1161, 1009, 924, 860, 932, 874, 926, 701, 681, 595, 562, 575, 585, 575, 577, 495, 469, 460, 480, 427, 359, 366, 332, 455, 362, 330, 284, 325, 295
3384, 2937, 2648, 2637, 1933, 1792, 1800, 1382, 1157, 1160, 1152, 964, 940, 786, 698, 817, 614, 620, 642, 644, 608, 647, 606, 650, 963, 1258, 1885, 901, 922, 871, 994, 1090, 1071, 1274, 1412, 554
8, 1, 1, 1, 6, 27, 9, 9, 9, 18, 9, 1, 8, 9, 9, 9, 18, 1, 1, 1, 1, 14, 18, 1, 1, 1, 6, 1, 8, 1, 8, 9, 9, 1, 1, 7
9, 9, 1, 1, 16, 1, 8, 18, 9, 18, 9, 1, 8, 1, 1, 7, 1, 1, 1, 6, 1, 8, 9, 9, 1, 8, 9, 1, 17, 1, 1, 1, 6, 1, 1, 1
6, 9, 9, 18, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 16, 18
43, 57, 30, 54, 77, 14, 52, 20, 1, 35, 10, 18, 30, 20, 10, 1, 1, 1, 7, 1, 1, 1, 7, 5, 1, 9, 35, 1, 1, 1, 1, 6, 1, 1, 1, 17
1, 9, 1, 1, 1, 1, 6, 10, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 30, 83, 85, 61, 81, 48, 11, 38, 40
30, 40, 17, 1, 9, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 26, 30, 10, 10, 1, 19, 1, 4, 10, 10, 1, 1, 1, 1, 1, 1, 1
17, 72, 36, 27, 36, 18, 27, 27, 54, 36, 9, 36, 36, 9, 27, 23, 1, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 11, 113, 232, 118, 78, 10, 25, 35, 30
89, 63, 54, 54, 90, 45, 45, 50, 9, 1, 1, 1, 1, 16, 345, 196, 35, 65, 30, 1, 9, 1, 1, 1, 1, 1, 1, 105, 517, 27, 80, 55, 1, 1, 1, 7
