1210765732230746113;Sat Dec 28 03:33:40 +0000 2019;@SismoMundial Para chile el terremoto es de7 para arriba depende del terreno nosotros tuvimos 8 2. Y no se me callo nada de mi casa;
1210753810081075201;Sat Dec 28 02:46:17 +0000 2019;RT @cordobax26: Tanto sufrir este animalito, ahora descansa Ramba" 🇨🇱#chile #arica #iquique #antofagasta #copiapo #laserena #coquimbo #valp…;chile, arica, iquique, antofagasta, copiapo, laserena, coquimbo, 
1210753482942107650;Sat Dec 28 02:44:59 +0000 2019;RT @cordobax26: Tanto sufrir este animalito, ahora descansa Ramba" 🇨🇱#chile #arica #iquique #antofagasta #copiapo #laserena #coquimbo #valp…;chile, arica, iquique, antofagasta, copiapo, laserena, coquimbo, 
1210753433122140167;Sat Dec 28 02:44:47 +0000 2019;RT @cordobax26: Tanto sufrir este animalito, ahora descansa Ramba" 🇨🇱#chile #arica #iquique #antofagasta #copiapo #laserena #coquimbo #valp…;chile, arica, iquique, antofagasta, copiapo, laserena, coquimbo, 
1210749438802546691;Sat Dec 28 02:28:55 +0000 2019;RT @LandeckH: Gobierno anuncia que peor #sequía de #Chile puede llevar a racionamiento de #agua pero no discute cambio de modelo agroindust…;sequía, Chile, agua, 
1210744760622673920;Sat Dec 28 02:10:20 +0000 2019;RT @LandeckH: Gobierno anuncia que peor #sequía de #Chile puede llevar a racionamiento de #agua pero no discute cambio de modelo agroindust…;sequía, Chile, agua, 
1210744659019890688;Sat Dec 28 02:09:55 +0000 2019;RT @LandeckH: Gobierno anuncia que peor #sequía de #Chile puede llevar a racionamiento de #agua pero no discute cambio de modelo agroindust…;sequía, Chile, agua, 
1210741451711115264;Sat Dec 28 01:57:11 +0000 2019;RT @LandeckH: Gobierno anuncia que peor #sequía de #Chile puede llevar a racionamiento de #agua pero no discute cambio de modelo agroindust…;sequía, Chile, agua, 
1210728122670182400;Sat Dec 28 01:04:13 +0000 2019;RT @BeethovenCLUSA: Chile despierta 🇨🇱 #Chile #Arica #Iquique #Antofagasta #Coquimbo #LaSerena #Valparaiso  #Santiago #Rancagua  #Talca #Co…;Chile, Arica, Iquique, Antofagasta, Coquimbo, LaSerena, Valparaiso, Santiago, Rancagua, Talca, 
1210726994683383809;Sat Dec 28 00:59:44 +0000 2019;Terremoto M4.5 - Northern Chile - vie., 27 dic. 2019 18:50:43 UTC (14:50 GMT-04:00) - Hace 3 horas más información:… https://t.co/UTLe31YRpJ;
1210710960358473729;Fri Dec 27 23:56:01 +0000 2019;RT @CofreTrommerC: @FRCentroNorte @canal_chile La Fiscal Chong, la misma del terremoto 27F??  Con la misma diligencia para inculpar a un @C…;
1210708542870700033;Fri Dec 27 23:46:25 +0000 2019;RT @earthquakevt: ⚠️#Chile🇨🇱: Un sismo leve de magnitud Mw=4.5, se registró a 30 KM al NE de #Baquedano, región de #Antofagasta. Tuvo una p…;Chile, Baquedano, Antofagasta, 
1210707212735266816;Fri Dec 27 23:41:08 +0000 2019;RT @BeethovenCLUSA: Chile despierta 🇨🇱 #Chile #Arica #Iquique #Antofagasta #Coquimbo #LaSerena #Valparaiso  #Santiago #Rancagua  #Talca #Co…;Chile, Arica, Iquique, Antofagasta, Coquimbo, LaSerena, Valparaiso, Santiago, Rancagua, Talca, 
1210701544800374785;Fri Dec 27 23:18:36 +0000 2019;@FRCentroNorte @canal_chile La Fiscal Chong, la misma del terremoto 27F??  Con la misma diligencia para inculpar a… https://t.co/F6VWi411vk;
1210700856779329536;Fri Dec 27 23:15:52 +0000 2019;Chile despierta 🇨🇱 #Chile #Arica #Iquique #Antofagasta #Coquimbo #LaSerena #Valparaiso  #Santiago #Rancagua  #Talca… https://t.co/gEO9Ozhyvi;Chile, Arica, Iquique, Antofagasta, Coquimbo, LaSerena, Valparaiso, Santiago, Rancagua, Talca, 
1210699493072670720;Fri Dec 27 23:10:27 +0000 2019;RT @cordobax26: Tanto sufrir este animalito, ahora descansa Ramba" 🇨🇱#chile #arica #iquique #antofagasta #copiapo #laserena #coquimbo #valp…;chile, arica, iquique, antofagasta, copiapo, laserena, coquimbo, 
1210687715076984833;Fri Dec 27 22:23:39 +0000 2019;Terremoto M4.5 - Northern Chile - vie., 27 dic. 2019 18:50:43 UTC (14:50 GMT-04:00) - Hace 3 horas más información:… https://t.co/kAxQBaBrfO;
1210685009373384704;Fri Dec 27 22:12:54 +0000 2019;RT @earthquakevt: ⚠️#Chile🇨🇱: Un sismo leve de magnitud Mw=4.5, se registró a 30 KM al NE de #Baquedano, región de #Antofagasta. Tuvo una p…;Chile, Baquedano, Antofagasta, 
1210682994190630913;Fri Dec 27 22:04:53 +0000 2019;RT @cordobax26: Tanto sufrir este animalito, ahora descansa Ramba" 🇨🇱#chile #arica #iquique #antofagasta #copiapo #laserena #coquimbo #valp…;chile, arica, iquique, antofagasta, copiapo, laserena, coquimbo, 
1210679543347978240;Fri Dec 27 21:51:11 +0000 2019;@AlGrano921 @Cami_FloresO Llego la Malacuea a Chile informa el Diario @latercera @AgriculturaFM @Cooperativa ojala… https://t.co/XElML8ZX2K;
1210677247838949379;Fri Dec 27 21:42:03 +0000 2019;RT @cordobax26: Tanto sufrir este animalito, ahora descansa Ramba" 🇨🇱#chile #arica #iquique #antofagasta #copiapo #laserena #coquimbo #valp…;chile, arica, iquique, antofagasta, copiapo, laserena, coquimbo, 
1210675010446274560;Fri Dec 27 21:33:10 +0000 2019;RT @cordobax26: Tanto sufrir este animalito, ahora descansa Ramba" 🇨🇱#chile #arica #iquique #antofagasta #copiapo #laserena #coquimbo #valp…;chile, arica, iquique, antofagasta, copiapo, laserena, coquimbo, 
1210673899618394112;Fri Dec 27 21:28:45 +0000 2019;RT @LaRedTV: Lo analizamos en Hola Chile junto a nuestro panel de expertos y la opinión del ex vocero de "Defendamos Chiloé" #HolaChileTeIn…;
1210673595858522112;Fri Dec 27 21:27:33 +0000 2019;RT @cordobax26: Tanto sufrir este animalito, ahora descansa Ramba" 🇨🇱#chile #arica #iquique #antofagasta #copiapo #laserena #coquimbo #valp…;chile, arica, iquique, antofagasta, copiapo, laserena, coquimbo, 
1210673558403387393;Fri Dec 27 21:27:24 +0000 2019;*Ley vigente  🇨🇱#chile #arica #iquique #antofagasta #copiapo #laserena #coquimbo #valparaiso #viñadelmar… https://t.co/kp7MpgLlU4;chile, arica, iquique, antofagasta, copiapo, laserena, coquimbo, valparaiso, viñadelmar, 
1210673184116228097;Fri Dec 27 21:25:54 +0000 2019;RT @LaRedTV: Lo analizamos en Hola Chile junto a nuestro panel de expertos y la opinión del ex vocero de "Defendamos Chiloé" #HolaChileTeIn…;
1210672770650181632;Fri Dec 27 21:24:16 +0000 2019;Tanto sufrir este animalito, ahora descansa Ramba" 🇨🇱#chile #arica #iquique #antofagasta #copiapo #laserena… https://t.co/qv9cVxdtMr;chile, arica, iquique, antofagasta, copiapo, laserena, 
1210672330831286272;Fri Dec 27 21:22:31 +0000 2019;"Ahora lo entiendo todo "  🇨🇱#chile #arica #iquique #antofagasta #copiapo #laserena #coquimbo #valparaiso… https://t.co/6mv7N1TnuD;chile, arica, iquique, antofagasta, copiapo, laserena, coquimbo, valparaiso, 
1210668863186259968;Fri Dec 27 21:08:44 +0000 2019;RT @earthquakevt: ⚠️#Chile🇨🇱: Un sismo leve de magnitud Mw=4.5, se registró a 30 KM al NE de #Baquedano, región de #Antofagasta. Tuvo una p…;Chile, Baquedano, Antofagasta, 
1210667778329452545;Fri Dec 27 21:04:26 +0000 2019;RT @LandeckH: Gobierno anuncia que peor #sequía de #Chile puede llevar a racionamiento de #agua pero no discute cambio de modelo agroindust…;sequía, Chile, agua, 
1210659365314846724;Fri Dec 27 20:31:00 +0000 2019;RT @MarGomezH: Con esta magnitud,es el segundo terremoto más grande registrado desde la existencia del sismógrafo,después del terremoto de…;
1210653707756593152;Fri Dec 27 20:08:31 +0000 2019;RT @sergi_vlad: Estoy de acuerdo con la señora Natalia valdebenito Qué en chile se violan los Derechos Humanos... El derecho a la vida Qué…;
1210652066877726720;Fri Dec 27 20:02:00 +0000 2019;RT @earthquakevt: ⚠️#Chile🇨🇱: Un sismo leve de magnitud Mw=4.5, se registró a 30 KM al NE de #Baquedano, región de #Antofagasta. Tuvo una p…;Chile, Baquedano, Antofagasta, 
1210650664927297536;Fri Dec 27 19:56:25 +0000 2019;RT @earthquakevt: ⚠️#Chile🇨🇱: Un sismo leve de magnitud Mw=4.5, se registró a 30 KM al NE de #Baquedano, región de #Antofagasta. Tuvo una p…;Chile, Baquedano, Antofagasta, 
1210650593557204992;Fri Dec 27 19:56:08 +0000 2019;RT @earthquakevt: ⚠️#Chile🇨🇱: Un sismo leve de magnitud Mw=4.5, se registró a 30 KM al NE de #Baquedano, región de #Antofagasta. Tuvo una p…;Chile, Baquedano, Antofagasta, 
1210650515756990466;Fri Dec 27 19:55:50 +0000 2019;⚠️#Chile🇨🇱: Un sismo leve de magnitud Mw=4.5, se registró a 30 KM al NE de #Baquedano, región de #Antofagasta. Tuvo… https://t.co/8XsDj6OCXj;Chile, Baquedano, Antofagasta, 
1210642179020009473;Fri Dec 27 19:22:42 +0000 2019;RT @sergi_vlad: Estoy de acuerdo con la señora Natalia valdebenito Qué en chile se violan los Derechos Humanos... El derecho a la vida Qué…;
1210628319206662144;Fri Dec 27 18:27:38 +0000 2019;RT @zuricht94: Que creerá la izquierda en #Chile que les vas a regalar, si desde que despertaron lo único que hicieron fue dedicarse a; aca…;Chile, 
1210616600463888384;Fri Dec 27 17:41:04 +0000 2019;RT @LaRedTV: Lo analizamos en Hola Chile junto a nuestro panel de expertos y la opinión del ex vocero de "Defendamos Chiloé" #HolaChileTeIn…;
1210614839791542273;Fri Dec 27 17:34:04 +0000 2019;RT @Alinarubio30: @AndrsFernndezL1 @AleLRoss198 @LunaDeAbril2019 @marti160patria @Frank201919 @LolaVid @pereiraraul59 @Vilma_Meche @taniasa…;
1210606177350045696;Fri Dec 27 16:59:39 +0000 2019;RT @cfariasvega: Ocurre un terremoto, ¿y qué pasa con los volcanes?  La respuesta no tiene nada de sencillo, pero en los últimos 10 años en…;
1210591443108147202;Fri Dec 27 16:01:06 +0000 2019;Se agudiza la sequía en Chile y el gobierno no descarta racionamiento de agua https://t.co/1VKwBmZaF4;
1210584396044161024;Fri Dec 27 15:33:06 +0000 2019;Lo analizamos en Hola Chile junto a nuestro panel de expertos y la opinión del ex vocero de "Defendamos Chiloé"… https://t.co/pSRfQgA61L;
1210584320685039617;Fri Dec 27 15:32:48 +0000 2019;Lo analizamos en Hola Chile junto a nuestro panel de expertos y la opinión del ex vocero de "Defendamos Chiloé"… https://t.co/IPpscIYoKE;
1210581602130116608;Fri Dec 27 15:22:00 +0000 2019;RT @Alinarubio30: @AndrsFernndezL1 @AleLRoss198 @LunaDeAbril2019 @marti160patria @Frank201919 @LolaVid @pereiraraul59 @Vilma_Meche @taniasa…;
1210577899503464448;Fri Dec 27 15:07:17 +0000 2019;tuviéramos sufrir las consecuencias de nuestras propias indiferencias e ineptitudes.   2019, plop :( caímos en lo m… https://t.co/uMMnNP8iLD;
1210577891039367168;Fri Dec 27 15:07:15 +0000 2019;(hilo)   Último viernes de la década!   Partimos el 2010 con un terremoto que nos demostró lo vulnerable que era Ch… https://t.co/LHHHbXqmT4;
1210577154418860032;Fri Dec 27 15:04:19 +0000 2019;RT @sergi_vlad: Estoy de acuerdo con la señora Natalia valdebenito Qué en chile se violan los Derechos Humanos... El derecho a la vida Qué…;
1210569721956814848;Fri Dec 27 14:34:47 +0000 2019;RT @MarGomezH: Con esta magnitud,es el segundo terremoto más grande registrado desde la existencia del sismógrafo,después del terremoto de…;
1210568740091420673;Fri Dec 27 14:30:53 +0000 2019;RT @Alinarubio30: @AndrsFernndezL1 @AleLRoss198 @LunaDeAbril2019 @marti160patria @Frank201919 @LolaVid @pereiraraul59 @Vilma_Meche @taniasa…;
1210568247533289474;Fri Dec 27 14:28:56 +0000 2019;@ValdebenitoNata Una forma hay. Un terremoto grado 8 en cualquier lugar de Chile...;
1210567874621911047;Fri Dec 27 14:27:27 +0000 2019;RT @Alinarubio30: @AndrsFernndezL1 @AleLRoss198 @LunaDeAbril2019 @marti160patria @Frank201919 @LolaVid @pereiraraul59 @Vilma_Meche @taniasa…;
1210561991653416962;Fri Dec 27 14:04:04 +0000 2019;RT @ALERTADESISMO: 📣ZONA NORTE DE CHILE📣Se activa sensor de sismo prepárese para  un #TEMBLOR " Zona de posible riesgo ARICA- IQUIQUE- ANTO…;TEMBLOR, 
1210560337931653120;Fri Dec 27 13:57:30 +0000 2019;RT @sergi_vlad: Estoy de acuerdo con la señora Natalia valdebenito Qué en chile se violan los Derechos Humanos... El derecho a la vida Qué…;
1210553757093765120;Fri Dec 27 13:31:21 +0000 2019;RT @manualemar70: #ChileMarchaElViernes Y todos los días en las diferentes regiones y ciudades de Chile. Estamos despiertos en #Arica #Iqui…;ChileMarchaElViernes, Arica, 
1210549331222257665;Fri Dec 27 13:13:46 +0000 2019;RT @zuricht94: Que creerá la izquierda en #Chile que les vas a regalar, si desde que despertaron lo único que hicieron fue dedicarse a; aca…;Chile, 
1210544494946459650;Fri Dec 27 12:54:33 +0000 2019;RT @manualemar70: #ChileMarchaElViernes Y todos los días en las diferentes regiones y ciudades de Chile. Estamos despiertos en #Arica #Iqui…;ChileMarchaElViernes, Arica, 
1210535166722166784;Fri Dec 27 12:17:29 +0000 2019;RT @manualemar70: #ChileMarchaElViernes Y todos los días en las diferentes regiones y ciudades de Chile. Estamos despiertos en #Arica #Iqui…;ChileMarchaElViernes, Arica, 
1210526053053140993;Fri Dec 27 11:41:16 +0000 2019;RT @sergi_vlad: Estoy de acuerdo con la señora Natalia valdebenito Qué en chile se violan los Derechos Humanos... El derecho a la vida Qué…;
1210525574663417868;Fri Dec 27 11:39:22 +0000 2019;RT @sergi_vlad: Estoy de acuerdo con la señora Natalia valdebenito Qué en chile se violan los Derechos Humanos... El derecho a la vida Qué…;
1210523978839678977;Fri Dec 27 11:33:01 +0000 2019;RT @manualemar70: #ChileMarchaElViernes Y todos los días en las diferentes regiones y ciudades de Chile. Estamos despiertos en #Arica #Iqui…;ChileMarchaElViernes, Arica, 
1210523565185011713;Fri Dec 27 11:31:23 +0000 2019;RT @sergi_vlad: Estoy de acuerdo con la señora Natalia valdebenito Qué en chile se violan los Derechos Humanos... El derecho a la vida Qué…;
1210521695318097926;Fri Dec 27 11:23:57 +0000 2019;RT @manualemar70: #ChileMarchaElViernes Y todos los días en las diferentes regiones y ciudades de Chile. Estamos despiertos en #Arica #Iqui…;ChileMarchaElViernes, Arica, 
1210519131776323585;Fri Dec 27 11:13:46 +0000 2019;RT @sergi_vlad: Estoy de acuerdo con la señora Natalia valdebenito Qué en chile se violan los Derechos Humanos... El derecho a la vida Qué…;
1210518950011953152;Fri Dec 27 11:13:02 +0000 2019;RT @sergi_vlad: Estoy de acuerdo con la señora Natalia valdebenito Qué en chile se violan los Derechos Humanos... El derecho a la vida Qué…;
1210516353335136256;Fri Dec 27 11:02:43 +0000 2019;RT @sergi_vlad: Estoy de acuerdo con la señora Natalia valdebenito Qué en chile se violan los Derechos Humanos... El derecho a la vida Qué…;
1210509754877038592;Fri Dec 27 10:36:30 +0000 2019;@24HorasTVN Se cayó un edificio antisísmico en el terremoto del 2010, no se va a quemar una escalera de escape, es… https://t.co/nHCUrWnsva;
1210508389777842177;Fri Dec 27 10:31:04 +0000 2019;RT @sergi_vlad: Estoy de acuerdo con la señora Natalia valdebenito Qué en chile se violan los Derechos Humanos... El derecho a la vida Qué…;
1210505439978373120;Fri Dec 27 10:19:21 +0000 2019;RT @sergi_vlad: Estoy de acuerdo con la señora Natalia valdebenito Qué en chile se violan los Derechos Humanos... El derecho a la vida Qué…;
1210504989518499841;Fri Dec 27 10:17:34 +0000 2019;RT @natanolivos: En nuestro país frente a cualquier catástrofe, terremoto o incendio, la única #PrimeraLinea siempre ha sido @BomberosdeChi…;PrimeraLinea, 
1210498819474907136;Fri Dec 27 09:53:03 +0000 2019;RT @manualemar70: #ChileMarchaElViernes Y todos los días en las diferentes regiones y ciudades de Chile. Estamos despiertos en #Arica #Iqui…;ChileMarchaElViernes, Arica, 
1210495171407818753;Fri Dec 27 09:38:33 +0000 2019;RT @ALERTADESISMO: 📣ZONA NORTE DE CHILE📣Se activa sensor de sismo prepárese para  un #TEMBLOR " Zona de posible riesgo ARICA- IQUIQUE- ANTO…;TEMBLOR, 
1210495068345372674;Fri Dec 27 09:38:08 +0000 2019;RT @ALERTADESISMO: 📣ZONA NORTE DE CHILE📣Se activa sensor de sismo prepárese para  un #TEMBLOR " Zona de posible riesgo ARICA- IQUIQUE- ANTO…;TEMBLOR, 
1210494930256384000;Fri Dec 27 09:37:35 +0000 2019;📣ZONA NORTE DE CHILE📣Se activa sensor de sismo prepárese para  un #TEMBLOR " Zona de posible riesgo ARICA- IQUIQUE-… https://t.co/G1GwM5QM1c;TEMBLOR, 
1210493584442417152;Fri Dec 27 09:32:15 +0000 2019;@FrenteInvisible Esto es como denunciar que la foto del hombre con la bandera de Chile después del terremoto de 201… https://t.co/2KU09qp2UQ;
1210487265518116864;Fri Dec 27 09:07:08 +0000 2019;RT @manualemar70: #ChileMarchaElViernes Y todos los días en las diferentes regiones y ciudades de Chile. Estamos despiertos en #Arica #Iqui…;ChileMarchaElViernes, Arica, 
1210476124112916480;Fri Dec 27 08:22:52 +0000 2019;RT @sergi_vlad: Estoy de acuerdo con la señora Natalia valdebenito Qué en chile se violan los Derechos Humanos... El derecho a la vida Qué…;
1210466352382775297;Fri Dec 27 07:44:02 +0000 2019;RT @sergi_vlad: Estoy de acuerdo con la señora Natalia valdebenito Qué en chile se violan los Derechos Humanos... El derecho a la vida Qué…;
